Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[2, 101, 171, 216, 306, 485]",1.7299,GA with SVR,6,0.1496,0.1224,0.131,1.6215,1.3229,0.4507
"[100, 176, 260, 302, 350, 355, 382, 438, 439, 700]",2.7779,GA with SVR,10,0.2086,0.2664,0.2807,1.4753,1.2393,0.3803
"[106, 336, 541, 568, 691]",1.6411,GA with SVR,5,0.1563,0.2007,0.0038,1.7362,1.3574,0.4366
"[55, 72, 87, 176, 181, 342, 344, 455]",2.4874,GA with SVR,8,0.1089,0.0788,0.0489,1.6964,1.3436,0.4789
"[121, 138, 213, 430, 450, 455, 488, 540]",2.525,GA with SVR,8,0.0579,0.0572,0.1096,1.6414,1.3352,0.4366
"[336, 425]",1.6009,GA with SVR,2,0.1188,0.1677,0.0633,1.6835,1.4124,0.3521
"[125, 222, 282, 329, 504, 522, 531]",2.1733,GA with SVR,7,0.179,0.2598,0.1977,1.5581,1.2208,0.4648
"[101, 336, 347, 425, 504, 522, 531, 819]",2.2582,GA with SVR,8,0.3054,0.3656,0.2679,1.4883,1.1821,0.4789
"[215, 336, 344, 413, 425, 468, 504, 522, 531]",2.4902,GA with SVR,9,0.2792,0.3508,0.2623,1.494,1.182,0.493
"[119, 139, 190, 218, 220, 230, 318, 330, 344, 368, 409, 459, 478, 490, 511, 532, 676]",4.3737,GA with SVR,17,0.1374,0.0585,0.1276,1.6247,1.3593,0.4366
"[47, 51, 85, 94, 214, 220, 296, 363, 405, 524]",2.9071,GA with SVR,10,0.0997,0.0945,0.077,1.6711,1.3419,0.4366
"[35, 81, 82, 219, 275, 332, 338, 387, 478, 483, 564, 866, 868]",3.5762,GA with SVR,13,0.07,0.0367,0.0599,1.6866,1.431,0.3803
"[48, 50, 71, 104, 121, 271, 302, 344, 374, 427, 497, 519, 540, 551, 572, 679, 700]",4.339,GA with SVR,17,0.1055,0.2064,0.1548,1.5992,1.3025,0.4507
"[193, 201, 220, 221, 242, 251, 280, 290, 347, 370, 371, 434, 463]",3.5164,GA with SVR,13,0.15,0.0681,0.118,1.6336,1.2797,0.4366
"[36, 80, 89, 125, 130, 151, 222, 237, 359, 423, 498, 508, 514, 651, 697, 940]",4.1433,GA with SVR,16,0.1283,0.1243,0.1084,1.6425,1.2856,0.4648
"[16, 116, 140, 208, 221, 267, 290, 426, 819, 866]",2.8855,GA with SVR,10,0.1587,0.0518,0.1399,1.6132,1.3246,0.4648
"[63, 121, 277, 292, 299, 327, 370, 380, 444, 466, 468, 479, 489, 518, 555, 561, 562, 681]",4.4047,GA with SVR,18,0.2805,0.2793,0.2622,1.4941,1.2094,0.4648
"[16, 60, 146, 203, 228, 231, 359, 388, 449, 565, 681, 702]",3.2111,GA with SVR,12,0.2357,0.1793,0.2736,1.4825,1.1581,0.5211
"[80, 112, 298, 364, 399, 413, 422, 506, 559, 698]",2.7233,GA with SVR,10,0.2633,0.3149,0.2999,1.4554,1.1565,0.5352
"[76, 81, 142, 145, 147, 154, 205, 288, 291, 337, 359, 500, 535, 680, 692]",3.7897,GA with SVR,15,0.2698,0.2547,0.0908,1.6586,1.2425,0.5493
"[69, 108, 181, 214, 225, 254, 288, 338, 360, 383, 525, 530, 650, 930]",3.6382,GA with SVR,14,0.1818,0.2555,0.1622,1.5922,1.3257,0.4507
"[47, 53, 74, 144, 196, 267, 430, 446, 453, 465, 467, 477, 524, 526, 692, 880]",4.0799,GA with SVR,16,0.2427,0.0971,0.2146,1.5415,1.1649,0.5211
"[5, 94, 145, 187, 229, 290, 300, 319, 320, 362, 381, 521, 540]",3.5922,GA with SVR,13,0.0465,0.0311,0.0541,1.6918,1.4269,0.4085
"[36, 68, 177, 184, 237, 240, 252, 308, 459, 460, 476, 478, 509, 532, 557, 880]",4.2073,GA with SVR,16,0.0962,0.0019,0.0443,1.7005,1.3814,0.4225
"[5, 30, 34, 45, 129, 211, 236, 244, 252, 302, 320, 337, 374, 388, 410, 429, 469, 496, 558, 692, 693, 699]",5.2456,GA with SVR,22,0.319,0.2321,0.2951,1.4604,1.0884,0.5493
"[45, 69, 106, 324, 341, 440, 456, 497, 533, 541, 907]",3.0085,GA with SVR,11,0.174,0.2699,0.1408,1.6124,1.3405,0.4225
"[45, 63, 166, 171, 232, 263, 280, 336, 378, 386, 390, 469, 486, 542, 546, 564, 698, 937]",4.5061,GA with SVR,18,0.144,0.2574,0.196,1.5597,1.2697,0.493
"[47, 59, 66, 71, 150, 194, 205, 305, 338, 489, 495, 566, 696, 871]",3.5113,GA with SVR,14,0.3225,0.3335,0.247,1.5094,1.1805,0.507
"[31, 109, 120, 132, 136, 251, 328, 340, 344, 382, 397, 434, 482, 492, 521, 527, 677, 698, 816]",4.7026,GA with SVR,19,0.188,0.2225,0.174,1.5809,1.2667,0.4366
"[38, 45, 281, 377, 403, 455, 487, 907]",2.1338,GA with SVR,8,0.3905,0.521,0.4034,1.3435,1.0739,0.5634
"[31, 67, 146, 188, 204, 230, 250, 325, 365, 409, 681, 871, 880, 929]",3.6011,GA with SVR,14,0.2039,0.3143,0.2084,1.5476,1.2288,0.4789
"[50, 55, 104, 146, 174, 178, 224, 340, 436, 451, 503, 540, 543]",3.3321,GA with SVR,13,0.2959,0.3048,0.2754,1.4807,1.2122,0.4648
"[50, 94, 169, 176, 199, 245, 246, 398, 401, 427, 435, 436, 441, 468, 482, 545, 680, 694, 908]",4.5258,GA with SVR,19,0.3914,0.3027,0.2824,1.4735,1.1091,0.5775
"[65, 160, 219, 279, 311, 336, 444, 453, 475, 484, 496, 557, 565, 702]",3.6074,GA with SVR,14,0.2323,0.2481,0.197,1.5588,1.2418,0.493
"[2, 36, 105, 142, 177, 181, 184, 321, 340, 352, 373, 374, 378, 422, 454, 468, 472, 515, 679, 908, 937]",4.9897,GA with SVR,21,0.3039,0.3558,0.2693,1.4869,1.131,0.5211
"[71, 73, 128, 226, 229, 237, 276, 296, 325, 342, 351, 382, 431, 452, 513, 574, 680, 699, 880]",4.5792,GA with SVR,19,0.2822,0.3634,0.3092,1.4458,1.1463,0.5352
"[87, 110, 183, 197, 292, 460, 466, 489, 549, 880, 929]",3.1044,GA with SVR,11,0.0856,0.1571,0.1263,1.6259,1.3227,0.4225
"[38, 46, 67, 80, 103, 228, 298, 304, 312, 328, 343, 348, 371, 388, 410, 422, 555, 650, 690]",4.7155,GA with SVR,19,0.2222,0.1325,0.1725,1.5823,1.2739,0.4648
"[80, 311, 394, 400, 422, 456, 457, 535, 680, 852]",2.799,GA with SVR,10,0.2574,0.1202,0.128,1.6243,1.2631,0.4789
"[15, 94, 413, 515, 526, 534]",1.8708,GA with SVR,6,-0.0171,-0.0109,-0.0444,1.7776,1.455,0.4507
"[96, 99, 179, 198, 244, 314, 328, 352, 430, 449, 461, 481, 505, 819, 871]",3.8215,GA with SVR,15,0.2674,0.1778,0.1748,1.5801,1.2282,0.4789
"[15, 67, 126, 166, 168, 191, 250, 322, 394, 445, 469, 473, 551]",3.6392,GA with SVR,13,-0.0135,-0.0041,-0.0437,1.7771,1.4585,0.4366
"[35, 69, 107, 111, 166, 216, 289, 291, 431, 482, 526, 532, 864, 928]",3.5966,GA with SVR,14,0.2305,0.2795,0.2253,1.531,1.2501,0.4789
"[34, 52, 53, 90, 122, 137, 228, 250, 305, 409, 483, 532, 544, 546, 559, 694, 696, 870]",4.3339,GA with SVR,18,0.3407,0.3447,0.3306,1.4232,1.0745,0.5634
"[38, 62, 86, 208, 225, 237, 314, 352, 570, 677, 865]",3.0587,GA with SVR,11,0.2097,0.0663,0.1982,1.5576,1.2053,0.4366
"[30, 59, 62, 97, 98, 130, 137, 276, 298, 312, 395, 402, 526, 528, 550, 555, 928]",4.0946,GA with SVR,17,0.3578,0.3821,0.4153,1.3301,1.0599,0.5634
"[44, 116, 126, 243, 282, 305, 322, 372, 517, 648]",2.7515,GA with SVR,10,0.2109,0.334,0.1861,1.5693,1.2036,0.4366
"[3, 125, 150, 269, 293, 294, 320, 343, 408, 456, 465, 521, 529, 553]",3.6719,GA with SVR,14,0.237,0.0688,0.1594,1.5948,1.3053,0.3944
"[139, 197, 201, 209, 244, 256, 293, 299, 340, 358, 368, 380, 488, 561]",3.6868,GA with SVR,14,0.1923,0.1062,0.1406,1.6125,1.2592,0.4789
