Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[45, 75, 89, 104, 140, 169, 170, 209, 252, 314, 391, 394, 433, 437, 442, 468, 507, 551]",4.6271,GA with ANN,18,0.0539,0.0766,0.0294,1.7184,1.459,0.3944
"[41, 118, 140, 150, 357, 394, 421, 452, 471, 677]",2.9358,GA with ANN,10,0.0538,0.0775,0.0248,1.7224,1.4588,0.3944
"[15, 140, 171, 173, 190, 192, 220, 254, 269, 283, 442, 489, 492, 496, 568, 569, 680, 816, 939]",4.841,GA with ANN,19,0.0536,0.0748,0.0108,1.7348,1.5005,0.3521
"[55, 71, 140, 190, 285, 287, 337, 346, 434, 445, 484, 495, 556, 571, 692, 880]",4.204,GA with ANN,16,0.0534,0.0726,0.0239,1.7232,1.4702,0.3803
"[107, 140, 181, 195, 201, 213, 276, 287, 295, 304, 306, 423, 467, 501, 505, 520, 869]",4.4167,GA with ANN,17,0.0531,0.0718,0.0271,1.7204,1.4675,0.3803
"[51, 134, 138, 140, 178, 306, 341, 354, 402, 425, 432, 437, 531, 567, 680]",3.9954,GA with ANN,15,0.0523,0.0651,0.025,1.7223,1.4729,0.3803
"[43, 70, 79, 82, 102, 140, 149, 208, 470, 488, 552, 565, 908]",3.5703,GA with ANN,13,0.0523,0.0719,0.0257,1.7217,1.4634,0.3803
"[140, 192, 215, 412, 488, 508, 539, 563]",2.5191,GA with ANN,8,0.0522,0.0711,0.0228,1.7242,1.474,0.3803
"[1, 15, 76, 86, 124, 139, 140, 157, 158, 163, 284, 293, 297, 338, 363, 368, 374, 382, 462, 526, 535, 538, 543, 551]",5.9206,GA with ANN,24,0.0522,0.0574,0.0098,1.7356,1.4971,0.3662
"[6, 36, 92, 96, 140, 143, 156, 178, 191, 232, 236, 271, 306, 334, 343, 379, 405, 455, 491, 492, 507, 678]",5.4853,GA with ANN,22,0.052,0.0705,0.0192,1.7274,1.4859,0.3944
"[3, 44, 107, 134, 136, 140, 166, 204, 208, 329, 345, 362, 376, 394, 436, 490, 532, 573]",4.6312,GA with ANN,18,0.0514,0.0695,0.0195,1.7272,1.4757,0.3803
"[6, 36, 92, 96, 140, 143, 156, 171, 191, 232, 236, 252, 271, 306, 334, 387, 405, 455, 491, 492, 507, 678]",5.4856,GA with ANN,22,0.0513,0.0709,0.0176,1.7288,1.4877,0.3803
"[5, 53, 85, 140, 228, 229, 287, 337, 391, 462, 475, 531, 937, 940]",3.7828,GA with ANN,14,0.0512,0.0701,0.0322,1.7159,1.4549,0.3944
"[120, 139, 140, 166, 367, 372, 435, 465, 499]",2.7334,GA with ANN,9,0.0512,0.0591,0.0043,1.7405,1.4966,0.3662
"[96, 140, 170, 285, 300, 370, 418, 422, 505, 548, 676, 872]",3.3616,GA with ANN,12,0.0511,0.0674,0.0152,1.7309,1.4931,0.3662
"[76, 116, 117, 140, 171, 174, 186, 235, 278, 291, 393, 421, 497, 571, 573, 930]",4.2078,GA with ANN,16,0.0509,0.0662,0.0203,1.7264,1.4825,0.3944
"[36, 40, 140, 171, 179, 269, 295, 348, 416, 426, 433, 446, 454, 678, 703, 941]",4.2056,GA with ANN,16,0.0508,0.0725,0.0255,1.7218,1.4531,0.4085
"[4, 17, 45, 72, 82, 140, 204, 227, 278, 308, 310, 336, 360, 437, 473, 690]",4.2068,GA with ANN,16,0.0508,0.0691,0.0257,1.7216,1.4608,0.3944
"[127, 138, 179, 186, 217, 294, 340, 424, 466, 488, 557, 566, 680]",3.5792,GA with ANN,13,0.0504,0.0491,0.0325,1.7156,1.4576,0.3803
"[71, 126, 140, 167, 178, 247, 300, 310, 356, 377, 403, 454, 460, 528, 536, 546, 615, 852, 939]",4.8455,GA with ANN,19,0.0502,0.068,0.0195,1.7271,1.484,0.3944
"[140, 146, 189, 315, 404, 413, 505, 536, 648, 650]",2.9416,GA with ANN,10,0.0502,0.0664,0.0178,1.7286,1.4856,0.3944
