Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[132, 152, 164, 237, 320, 342, 384, 391, 395, 396, 403, 437, 458, 514, 526, 530, 536, 542, 928, 938]",4.5606,GA with SVR,20,0.5132,0.4702,0.414,1.3315,1.0323,0.5211
"[47, 61, 80, 96, 123, 191, 218, 219, 255, 276, 283, 287, 343, 349, 361, 423, 505, 530, 555, 563, 839, 864]",4.9597,GA with SVR,22,0.5125,0.5127,0.5032,1.2261,0.9291,0.6197
"[100, 109, 235, 253, 318, 462, 481, 511, 676, 677, 681, 907]",2.8678,GA with SVR,12,0.5123,0.5172,0.4103,1.3357,1.025,0.5634
"[104, 150, 226, 230, 248, 302, 320, 347, 390, 442, 451, 465, 489, 512, 524, 540, 676, 696]",4.1064,GA with SVR,18,0.5121,0.5412,0.4617,1.2762,0.9985,0.5915
"[5, 30, 65, 80, 117, 318, 326, 340, 347, 413, 435, 468, 530, 697, 703, 930]",3.7607,GA with SVR,16,0.5118,0.393,0.3623,1.389,1.0729,0.5493
"[75, 86, 96, 101, 113, 276, 277, 298, 317, 334, 345, 370, 374, 398, 410, 421, 434, 435, 455, 489, 499, 505, 525, 526, 538, 552, 561, 564, 565, 651, 676, 872]",7.0665,GA with SVR,32,0.5116,0.5459,0.5648,1.1475,0.9074,0.6761
"[1, 58, 75, 123, 186, 236, 276, 347, 364, 379, 389, 532, 552, 563, 677, 693, 872, 880, 929]",4.3067,GA with SVR,19,0.5113,0.5595,0.557,1.1577,0.926,0.6338
"[70, 72, 118, 141, 168, 175, 215, 227, 320, 346, 378, 400, 447, 489, 536, 557, 561]",3.9412,GA with SVR,17,0.5113,0.454,0.4299,1.3134,1.0467,0.5493
"[99, 106, 137, 162, 201, 219, 220, 225, 233, 255, 276, 288, 343, 363, 375, 409, 530, 648, 702, 703, 872]",4.7312,GA with SVR,21,0.5111,0.5496,0.5424,1.1767,0.9224,0.6479
"[100, 117, 169, 290, 320, 367, 389, 399, 435, 536, 551, 631, 928]",3.1141,GA with SVR,13,0.5109,0.4375,0.375,1.3752,1.1063,0.493
