Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[0, 15, 30, 34, 60, 93, 103, 169, 171, 201, 212, 220, 267, 276, 289, 351, 377, 419, 424, 433, 453, 458, 504, 508, 512, 524, 567, 691, 697, 866, 907]",6.7786,GA with MLR,31,0.6684,0.4263,0.5573,1.1574,0.9481,0.5915
"[1, 6, 34, 69, 89, 91, 92, 99, 143, 161, 175, 224, 232, 291, 308, 365, 366, 370, 377, 412, 414, 489, 516, 527, 554, 557, 568, 868, 937]",6.4123,GA with MLR,29,0.668,0.3256,0.4894,1.243,0.97,0.5915
"[6, 59, 60, 87, 93, 154, 178, 205, 212, 263, 270, 297, 311, 316, 324, 331, 359, 380, 391, 400, 471, 507, 525, 528, 531, 566, 681, 691, 939]",6.5051,GA with MLR,29,0.6677,0.1652,0.4449,1.296,1.0646,0.5634
"[30, 35, 58, 70, 81, 88, 103, 107, 113, 117, 149, 161, 164, 172, 175, 190, 202, 298, 353, 355, 370, 385, 422, 470, 472, 522, 531, 555, 867, 872]",6.5118,GA with MLR,30,0.6662,0.511,0.5662,1.1457,0.9433,0.5634
"[5, 33, 39, 47, 124, 129, 145, 157, 191, 207, 210, 219, 242, 243, 302, 324, 378, 407, 412, 419, 451, 496, 498, 537, 561, 867, 906]",5.8689,GA with MLR,27,0.6658,0.5203,0.5959,1.1058,0.9088,0.6479
"[5, 16, 63, 68, 73, 85, 116, 128, 142, 168, 203, 223, 245, 280, 328, 353, 384, 407, 418, 441, 463, 476, 478, 539, 544, 554, 865]",5.9275,GA with MLR,27,0.6653,0.4265,0.4577,1.2809,1.0183,0.5775
"[5, 57, 69, 90, 92, 102, 129, 149, 168, 194, 202, 210, 229, 250, 256, 277, 320, 338, 356, 390, 394, 416, 424, 457, 467, 488, 506, 545]",6.237,GA with MLR,28,0.6649,0.2634,0.5341,1.1872,0.9509,0.5915
"[42, 44, 53, 54, 91, 101, 125, 126, 156, 172, 190, 196, 230, 254, 255, 290, 342, 345, 409, 414, 438, 469, 481, 489, 509, 542, 561, 697, 865]",6.3385,GA with MLR,29,0.6646,0.4514,0.5105,1.2169,1.0146,0.5915
"[0, 61, 66, 79, 83, 88, 110, 127, 136, 141, 163, 164, 174, 220, 224, 242, 245, 329, 342, 346, 349, 352, 357, 390, 429, 446, 467, 483, 531, 562, 699, 839, 867, 871, 941]",7.631,GA with MLR,35,0.6641,0.4486,0.4633,1.2743,0.9176,0.662
"[35, 56, 80, 85, 93, 102, 161, 181, 228, 250, 291, 354, 366, 390, 394, 400, 454, 469, 509, 515, 524, 676, 681, 868]",5.2543,GA with MLR,24,0.663,0.4939,0.1895,1.566,1.1591,0.5775
"[40, 91, 113, 156, 170, 184, 190, 211, 242, 261, 284, 291, 316, 329, 336, 351, 393, 407, 419, 514, 536, 649, 695]",5.1685,GA with MLR,23,0.6622,0.2733,0.4364,1.3059,0.9892,0.6338
"[46, 70, 91, 104, 109, 116, 122, 135, 147, 172, 180, 202, 207, 233, 237, 242, 261, 292, 300, 345, 352, 456, 480, 484, 566]",5.5482,GA with MLR,25,0.6616,0.3546,0.4487,1.2915,1.0317,0.5634
"[32, 35, 48, 60, 64, 87, 92, 101, 103, 127, 143, 159, 190, 206, 208, 219, 236, 279, 315, 346, 362, 366, 377, 382, 393, 396, 476, 504, 523, 529, 541, 650, 690, 866, 868]",7.7549,GA with MLR,35,0.661,0.2652,0.2997,1.4556,0.9734,0.6056
"[39, 43, 54, 57, 60, 90, 104, 115, 120, 142, 143, 210, 222, 234, 239, 240, 254, 269, 270, 276, 296, 306, 314, 346, 360, 376, 377, 382, 408, 493, 500, 537, 690]",7.1958,GA with MLR,33,0.661,0.4572,0.3829,1.3664,1.0901,0.5775
"[36, 44, 45, 67, 86, 123, 161, 177, 181, 204, 231, 252, 260, 279, 322, 337, 369, 410, 434, 469, 492, 505, 536, 538, 540, 543, 549, 556, 678, 867, 907]",6.7647,GA with MLR,31,0.6608,0.4592,0.4013,1.346,0.9928,0.6197
"[20, 31, 54, 93, 97, 191, 205, 215, 239, 245, 250, 275, 281, 316, 320, 366, 417, 461, 505, 517, 524, 550, 648, 676, 693]",5.4892,GA with MLR,25,0.6604,0.4582,0.5992,1.1012,0.9023,0.6197
"[16, 39, 94, 101, 114, 135, 201, 261, 300, 311, 313, 318, 356, 369, 412, 423, 453, 458, 484, 485, 512, 524, 564, 651, 676, 868, 907]",5.8918,GA with MLR,27,0.6602,0.4926,0.4362,1.3061,1.0107,0.5634
"[16, 34, 53, 91, 98, 112, 117, 139, 170, 218, 244, 248, 250, 305, 356, 419, 428, 460, 497, 515, 568, 690, 693, 870, 871]",5.494,GA with MLR,25,0.6601,0.4505,0.3871,1.3618,1.055,0.6056
"[5, 17, 34, 65, 102, 103, 107, 124, 153, 164, 195, 237, 263, 284, 334, 352, 379, 388, 392, 399, 456, 497, 507, 533, 568, 651, 696]",5.9082,GA with MLR,27,0.6597,0.4669,0.534,1.1874,0.9048,0.6338
"[56, 77, 81, 90, 116, 148, 151, 164, 166, 171, 181, 190, 221, 224, 233, 240, 249, 292, 353, 363, 368, 434, 444, 448, 453, 469, 494, 509, 519, 524, 528, 543, 547, 821, 871]",7.6283,GA with MLR,35,0.6596,0.4591,0.502,1.2275,0.8708,0.7183
"[30, 48, 66, 115, 171, 195, 202, 227, 282, 288, 370, 400, 418, 431, 432, 465, 562, 678, 693, 696, 698, 700]",4.9276,GA with MLR,22,0.659,0.333,0.4677,1.2691,1.0606,0.5352
"[44, 75, 91, 92, 94, 98, 149, 159, 172, 322, 329, 352, 356, 405, 529, 556, 695]",3.7506,GA with MLR,17,0.6586,0.567,0.512,1.2151,0.9498,0.6479
"[35, 61, 65, 71, 91, 143, 166, 174, 252, 270, 280, 306, 307, 338, 363, 368, 385, 409, 471, 482, 490, 502, 509, 569, 573]",5.6313,GA with MLR,25,0.6585,0.2092,0.3809,1.3686,1.002,0.5915
"[42, 59, 60, 68, 70, 74, 76, 97, 104, 112, 113, 142, 183, 195, 212, 230, 300, 309, 326, 358, 389, 426, 451, 500, 509, 511, 528, 564, 568]",6.3859,GA with MLR,29,0.6582,0.3846,0.5667,1.145,0.9269,0.6056
"[0, 16, 41, 42, 45, 55, 61, 62, 80, 84, 109, 121, 128, 143, 163, 206, 207, 209, 215, 260, 324, 330, 380, 402, 472, 533, 555, 559, 562, 648, 868]",6.9414,GA with MLR,31,0.6581,0.1731,0.4311,1.3119,1.0033,0.5775
"[36, 45, 56, 75, 104, 107, 108, 134, 170, 194, 212, 241, 279, 306, 308, 315, 338, 347, 395, 402, 405, 406, 470, 516, 534, 548, 566, 696, 864, 906, 938]",6.7586,GA with MLR,31,0.6579,0.4731,0.5065,1.2219,0.973,0.5915
"[0, 16, 17, 36, 63, 84, 166, 187, 217, 233, 384, 390, 414, 422, 430, 442, 486, 505, 544, 564, 572, 677, 826, 870]",5.2833,GA with MLR,24,0.6579,0.453,0.5572,1.1575,0.9333,0.5775
"[5, 31, 36, 79, 80, 88, 93, 118, 125, 178, 183, 203, 214, 215, 255, 313, 369, 385, 386, 396, 453, 512, 532, 537, 552, 572, 676, 697, 702, 816]",6.7051,GA with MLR,30,0.6578,0.2083,0.4231,1.3211,1.0153,0.5211
